Username,Name,Followers,Category,GMV,Items Sold,Avg Views,Engagement,Previously Invited
regularjoey0,regularjoey0,11.7K,Textiles & Soft Furnishings,£175.2K,8.4K,3.6K,0.3%,False
life.made.easy_,Life Made Easy,5.3K,Household Appliances,£129.9K,3.7K,1.7K,0.2%,False
team.finds,Team Finds,21.6K,Home Supplies,£114.5K,7.5K,6.1K,0.3%,False
deanmc60873,deanmc60873,3.1K,Textiles & Soft Furnishings,£97K,7.4K,2.9K,0.3%,False
carlatokshop,Carla ✨,5.8K,Textiles & Soft Furnishings,£91K,6K,1.2K,0.4%,False
tiktokproductgems,Sam | Home & Lifestyle,11.5K,Household Appliances,£80.7K,4.4K,2K,0.7%,False
sam_sweet_brummom,Mrs sweet,14K,Home Supplies,£77.5K,4.3K,860,0.5%,False
wendyg_official,Wendy G,308.1K,Beauty & Personal Care,£66.6K,5.2K,10.7K,2.6%,False
daniellejohnstonex,Danielle J x,205.1K,Beauty & Personal Care,£54.6K,2.9K,40K,7.6%,False
esmel77538,esmel77538,2.6K,Household Appliances,£51K,2.9K,2.7K,0.6%,False
samantha.x89,samantha,5.8K,Textiles & Soft Furnishings,£53.2K,4.1K,1.8K,1.4%,False
ticktrovee,Emily,2.6K,Textiles & Soft Furnishings,£51.4K,2.6K,2.6K,0.4%,False
